name,time,cx,cy,lx,ly,
student5,95,813,281,0,640,
student6,95,578,858,495,0,
student7,95,1031,657,531,899,
student8,95,474,516,1439,302,
student9,95,329,447,1439,787,
student10,95,550,423,1143,0,
student1,100,771,200,0,190,
student2,100,948,257,0,144,
student3,100,894,383,431,0,
student4,100,1189,401,668,0,
student5,100,920,366,0,416,
student6,100,681,816,689,0,
student7,100,1089,672,682,899,
student8,100,575,516,1439,255,
student9,100,322,451,1439,571,
student10,100,513,436,1439,271,
student1,105,740,177,0,505,
student2,105,893,237,0,234,
student3,105,899,333,606,0,
student4,105,1201,344,473,0,
student5,105,881,426,0,372,
student6,105,758,790,900,0,
student7,105,948,577,145,0,
student8,105,568,508,1439,179,
student9,105,324,432,1439,288,
student10,105,497,417,845,0,
student1,110,707,178,0,744,
student2,110,869,236,0,42,
student3,110,857,332,320,0,
student4,110,1144,350,661,0,
student5,110,917,385,563,0,
student6,110,769,811,987,0,
student7,110,959,809,0,808,
student8,110,612,452,731,0,
student9,110,412,469,1250,0,
student10,110,469,421,747,0,
student1,115,694,199,427,899,
student2,115,878,257,299,899,
student3,115,900,320,0,267,
student4,115,1119,381,0,338,
student5,115,912,411,416,0,
student6,115,756,869,780,0,
student7,115,920,535,0,364,
student8,115,500,490,820,0,
student9,115,281,484,1439,649,
student10,115,462,426,913,899,
student1,120,762,229,810,899,
student2,120,898,255,778,899,
student3,120,873,307,0,699,
student4,120,1141,368,0,838,
student5,120,887,359,0,431,
student6,120,791,849,999,0,
student7,120,1010,579,0,343,
student8,120,526,500,861,0,
student9,120,278,461,1439,503,
student10,120,453,424,1439,97,
