Volume,Time,Timestamp,Type
81.8,0.2,39.4,Teacher 
87.6,0.2,39.6,Teacher 
89.7,0.2,39.8,Teacher 
78.5,0.2,40,Teacher 
82.8,0.2,40.2,Teacher 
83.2,0.2,40.4,Teacher 
89.6,0.2,40.6,Teacher 
78.6,0.2,40.8,Teacher 
80.9,0.2,41,Teacher 
81,0.2,41.2,Teacher 
79.1,0.2,41.4,Teacher 
74.3,0.2,41.6,Teacher 
78.6,0.2,41.8,Teacher 
84.4,0.2,42,Teacher 
82.2,0.2,42.2,Student
86.6,0.2,42.4,Student
82.8,0.2,42.6,Student
81.6,0.2,42.8,Student
84.7,0.2,43,Student
80,0.2,43.2,Student
76.2,0.2,43.4,Student
80.1,0.2,43.6,Student
83.5,0.2,43.8,Student
87,0.2,44,Student
86.2,0.2,44.2,Student
81.5,0.2,44.4,Student
78.4,0.2,44.6,Student
70.7,0.2,44.8,Ambient
67.4,0.2,45,Ambient
73.8,0.2,45.2,Teacher 
81.7,0.2,45.4,Teacher 
85.4,0.2,45.6,Teacher 
78.2,0.2,45.8,Teacher 
75.7,0.2,46,Teacher 
86.3,0.2,46.2,Teacher 
85.2,0.2,46.4,Teacher 
78.5,0.2,46.6,Teacher 
70.1,0.2,46.8,Ambient
74.6,0.2,47,Teacher 
79.3,0.2,47.2,Teacher 
84.9,0.2,47.4,Teacher 
87.2,0.2,47.6,Teacher 
72.3,0.2,47.8,Teacher 
64.6,0.2,48,Ambient
79.7,0.2,48.2,Teacher 
83.8,0.2,48.4,Teacher 
84.2,0.2,48.6,Teacher 
74.6,0.2,48.8,Teacher 
70.9,0.2,49,Ambient
65.9,0.2,49.2,Ambient
68.7,0.2,49.4,Ambient
68.4,0.2,49.6,Ambient
68.6,0.2,49.8,Ambient
78.3,0.2,50,Teacher 
72.5,0.2,50.2,Teacher 
85.7,0.2,50.4,Teacher 
86.6,0.2,50.6,Teacher 
81,0.2,50.8,Teacher 
72.8,0.2,51,Teacher 
69.1,0.2,51.2,Ambient
73.6,0.2,51.4,Teacher 
84.1,0.2,51.6,Teacher 
77.1,0.2,51.8,Teacher 
66.6,0.2,52,Ambient
67.1,0.2,52.2,Ambient
83.1,0.2,52.4,Ambient
88.2,0.2,52.6,Ambient
83.8,0.2,52.8,Ambient
83.1,0.2,53,Student
88.3,0.2,53.2,Student
79.2,0.2,53.4,Student
82.8,0.2,53.6,Student
69.8,0.2,53.8,Ambient
68.2,0.2,54,Ambient
71.2,0.2,54.2,Ambient
68.2,0.2,54.4,Ambient
71.1,0.2,54.6,Ambient
78.2,0.2,54.8,Teacher 
88.9,0.2,55,Teacher 
79.2,0.2,55.2,Teacher 
68.5,0.2,55.4,Ambient
80.4,0.2,55.6,Teacher 
79.5,0.2,55.8,Teacher 
78.7,0.2,56,Teacher 
76.7,0.2,56.2,Teacher 
75.3,0.2,56.4,Teacher 
87.8,0.2,56.6,Teacher 
80.7,0.2,56.8,Teacher 
72.5,0.2,57,Teacher 
68.4,0.2,57.2,Ambient
76.4,0.2,57.4,Ambient
88.4,0.2,57.6,Ambient
81.7,0.2,57.8,Ambient
82.5,0.2,58,Ambient
89.8,0.2,58.2,Ambient
84,0.2,58.4,Ambient
70.9,0.2,58.6,Ambient
70.1,0.2,58.8,Ambient
74.2,0.2,59,Ambient
86.3,0.2,59.2,Student
86,0.2,59.4,Student
81.3,0.2,59.6,Student
85.6,0.2,59.8,Teacher 
77.1,0.2,60,Teacher 
85.8,0.2,60.2,Teacher 
88.3,0.2,60.4,Teacher 
81,0.2,60.6,Teacher 
76.1,0.2,60.8,Teacher 
74.3,0.2,61,Teacher 
71.9,0.2,61.2,Ambient
69.9,0.2,61.4,Ambient
76.2,0.2,61.6,Teacher 
85.7,0.2,61.8,Teacher 
84.6,0.2,62,Teacher 
85.7,0.2,62.2,Teacher 
90.5,0.2,62.4,Teacher 
89.5,0.2,62.6,Teacher 
81,0.2,62.8,Teacher 
79.9,0.2,63,Teacher 
75,0.2,63.2,Teacher 
66.9,0.2,63.4,Ambient
70.2,0.2,63.6,Ambient
84.8,0.2,63.8,Student
72.5,0.2,64,Student
87.2,0.2,64.2,Student
85.2,0.2,64.4,Student
76,0.2,64.6,Student
89.2,0.2,64.8,Student
74.7,0.2,65,Student
83.8,0.2,65.2,Student
81.1,0.2,65.4,Student
73.5,0.2,65.6,Student
71.2,0.2,65.8,Ambient
76.1,0.2,66,Teacher 
81.4,0.2,66.2,Teacher 
84.5,0.2,66.4,Teacher 
84,0.2,66.6,Teacher 
79.8,0.2,66.8,Teacher 
80.2,0.2,67,Teacher 
85.4,0.2,67.2,Teacher 
81.5,0.2,67.4,Teacher 
76.4,0.2,67.6,Teacher 
74.2,0.2,67.8,Teacher 
84.5,0.2,68,Teacher 
83.5,0.2,68.2,Teacher 
82.4,0.2,68.4,Teacher 
82,0.2,68.6,Teacher 
80.2,0.2,68.8,Teacher 
71.6,0.2,69,Ambient
75,0.2,69.2,Teacher 
75.5,0.2,69.4,Teacher 
80.4,0.2,69.6,Teacher 
85.5,0.2,69.8,Teacher 
82.4,0.2,70,Teacher 
84.8,0.2,70.2,Student
81.7,0.2,70.4,Student
73.9,0.2,70.6,Student
70.4,0.2,70.8,Ambient
73.5,0.2,71,Student
76.7,0.2,71.2,Student
